targetUptime                         | Target Uptime
NetCPUUtilThreshWarn                 | Network CPU Util Warning Threshold
NetCPUUtilThreshCrit                 | Network CPU Util Critical Threshold
ServerCPUUtilThreshWarn              | Server CPU Util Warning Threshold
ServerCPUUtilThreshCrit              | Server CPU Util Critical Threshold
StorageCPUUtilThreshWarn             | Storage CPU Util Warning Threshold
StorageCPUUtilThreshCrit             | Storage CPU Util Critical Threshold
ReadyCPUPctThreshWarn                | Ready CPU Pct Ready Warning Threshold
ReadyCPUPctThreshCrit                | Ready CPU Pct Ready Critical Threshold
NetMemUtilThreshWarn                 | Network Memory Util Warning Threshold
NetMemUtilThreshCrit                 | Network Memory Util Critical Threshold
ServerMemUtilThreshWarn              | Server Memory Util Warning Threshold
ServerMemUtilThreshCrit              | Server Memory Util Critical Threshold
VirtMemUtilThreshWarn                | Virtual Memory Util Warning Threshold
VirtMemUtilThreshCrit                | Virtual Memory Util Critical Threshold
SwapReadKBpsThreshWarn               | Swap Read KBps Warning Threshold
SwapReadKBpsThreshCrit               | Swap Read KBps Critical Threshold
DiskSpaceUtilThreshWarn              | Disk Space Util Warning Threshold
DiskSpaceUtilThreshCrit              | Disk Space Util Critical Threshold
FreeDiskMBThreshWarn                 | Free Disk (MB) Warning Threshold
FreeDiskMBThreshCrit                 | Free Disk (MB) Critical Threshold
DiskLatencyThreshWarn                | Disk Latency (msec) Warning Threshold
DiskLatencyThreshCrit                | Disk Latency (msec) Critical Threshold
IOLatencyThreshWarn                  | IO Latency (msec) Warning Threshold
IOLatencyThreshCrit                  | IO Latency (msec) Critical Threshold
NFSLatencyThreshWarn                 | NFS Latency (msec) Warning Threshold
NFSLatencyThreshCrit                 | NFS Latency (msec) Critical Threshold
CIFSLatencyThreshWarn                | CIFS Latency (msec) Warning Threshold
CIFSLatencyThreshCrit                | CIFS Latency (msec) Critical Threshold
ISCSILatencyThreshWarn               | ISCSI Latency (msec) Warning Threshold
ISCSILatencyThreshCrit               | ISCSI Latency (msec) Critical Threshold
FCPLatencyThreshWarn                 | FCP Latency (msec) Warning Threshold
FCPLatencyThreshCrit                 | FCP Latency (msec) Critical Threshold
NetIntfUtilThreshWarn                | Network Interface Util Warning Threshold
NetIntfUtilThreshCrit                | Network Interface Util Critical Threshold
SnifferIntfUtilThreshWarn            | Sniffer Network Interface Util Warning Threshold
SnifferIntfUtilThreshCrit            | Sniffer Network Interface Util Critical Threshold
ServerIntfUtilThreshWarn             | Server Interface Util Warning Threshold
ServerIntfUtilThreshCrit             | Server Interface Util Critical Threshold
IntfErrPctThreshWarn                 | Interface Error Pct Warning Threshold
IntfErrPctThreshCrit                 | Interface Error Pct Critical Threshold
HyperVLogicalTotRunTimePctThreshWarn | HyperV Logical Processor Total Run Time Pct Warning Threshold
HyperVLogicalTotRunTimePctThreshCrit | HyperV Logical Processor Total Run Time Pct Critical Threshold
HyperVRunTimePctThreshWarn           | HyperV Guest Hypervisor Run Time Pct Warning Threshold
HyperVFreeMemKBWarn                  | HyperV Free Guest Memory Warning Threshold
HyperVPageFaultWarn                  | HyperV Page Fault Rate Warning Threshold
HyperVPageFaultCrit                  | HyperV Page Fault Rate Critical Threshold
EventRecvTimeGapHigh                 | Event Receive Time Gap High Threshold (minutes)
EventRecvTimeGapLow                  | Event Receive Time Gap Low Threshold (minutes)
PerfMonTimeGapHigh                   | Performance Monitoring Time Gap High Threshold (multiples of polling Interval)
PerfMonTimeGapLow                    | Performance Monitoring Time Gap Low Threshold (multiples of polling Interval)
ProcessCPUUtilThreshWarn             | Process CPU Util Warning Threshold
ProcessCPUUtilThreshCrit             | Process CPU Util Critical Threshold
ProcessMemoryUtilThreshWarn          | Process Memory Util Warning Threshold
ProcessMemoryUtilThreshCrit          | Process Memory Util Critical Threshold
ACIHealthScoreThreshWarn             | ACI Health Score Warning Threshold
ACIHealthScoreThreshCrit             | ACI Health Score Critical Threshold

