 PH_DYNLIST_SCANNED_HOST        | Scanned Hosts
 PH_DYNLIST_HOST_SCANNER        | Host Scanners
 PH_DYNLIST_PORT_SCANNER        | Port Scanners
 PH_DYNLIST_ATTACKED_PORT_EXT   | Denied Ports
 PH_DYNLIST_ATTACKING_COUNTRY   | Denied Countries
 PH_DYNLIST_LIKELY_MALWARE      | Malware Likely
 PH_DYNLIST_VULN_SYSTEM         | Vulnerable Systems
 PH_DYNLIST_MALWARE_FOUND       | Malware Found
 PH_DYNLIST_MAIL_VIOLATOR       | Mail Violators
 PH_DYNLIST_DNS_VIOLATOR        | DNS Violators
 PH_DYNLIST_ACCT_LOCKOUT        | Accounts Locked
 PH_DYNLIST_SERVER_FAILED_LOGIN | Server Login Failures
 PH_DYNLIST_RESOURCE_ISSUE      | Resource Issues
 PH_DYNLIST_AVAIL_ISSUE         | Availability Issues
 PH_DYNLIST_HW_ISSUE            | Hardware Issues
 PH_DYNLIST_ENV_ISSUE           | Environmental Issues
 PH_DYNLIST_ROUTING_ISSUE       | Routing Issues
 PH_DYNLIST_POL_VIOLATION_ISSUE | Policy Violators
 PH_DYNLIST_WLAN_ISSUE          | Wireless LAN Issues
 PH_DYNLIST_APPL_ISSUE          | Application Issues
 PH_DYNLIST_TRAFFIC_ANOMALY     | Traffic Anomaly
 PH_DYNLIST_UNDER_ATTACK        | Devices Under Attack
 PH_DYNLIST_AUTHEN_ISSUE        | Authentication Issue

