192.168.169.59:2017-03-13T16:15:05Z DC.OrgC_Domain.local 192.168.169.59 AccelOps-WUA-WinLog-Microsoft-Windows-Sysmon/Operational [monitorStatus]="Success" [Locale]="en-GB" [MachineGuid]="0031b1cc-f526-488c-bd3b-41b2ff7cd13b" [timeZone]="+0000" [eventName]="Microsoft-Windows-Sysmon/Operational" [eventSource]="Microsoft-Windows-Sysmon" [eventId]="3" [eventType]="Information" [domain]="NT AUTHORITY" [computer]="DC.OrgC_Domain.local" [user]="SYSTEM" [userSID]="S-1-5-18" [userSIDAcctType]="User" [eventTime]="Mar 13 2017 16:15:04" [deviceTime]="Mar 13 2017 16:15:04" [msg]="Network connection detected:UtcTime: 2017-03-13 16:15:03.066ProcessGuid: {0031B1CC-B342-58C6-0000-001078DA0000}ProcessId: 776Image: C:\\Windows\\System32\\svchost.exeUser: NT AUTHORITY\\SYSTEMProtocol: tcpInitiated: falseSourceIsIpv6: falseSourceIp: 192.168.169.59SourceHostname: DC.OrgC_Domain.localSourcePort: 49154SourcePortName: DestinationIsIpv6: falseDestinationIp: 192.168.169.57DestinationHostname: DestinationPort: 36046DestinationPortName: "
192.168.169.59:2017-03-13T16:15:05Z DC.OrgC_Domain.local 192.168.169.59 AccelOps-WUA-WinLog-Microsoft-Windows-Sysmon/Operational [monitorStatus]="Success" [Locale]="en-GB" [MachineGuid]="0031b1cc-f526-488c-bd3b-41b2ff7cd13b" [timeZone]="+0000" [eventName]="Microsoft-Windows-Sysmon/Operational" [eventSource]="Microsoft-Windows-Sysmon" [eventId]="3" [eventType]="Information" [domain]="NT AUTHORITY" [computer]="DC.OrgC_Domain.local" [user]="SYSTEM" [userSID]="S-1-5-18" [userSIDAcctType]="User" [eventTime]="Mar 13 2017 16:15:04" [deviceTime]="Mar 13 2017 16:15:04" [msg]="Network connection detected:UtcTime: 2017-03-13 16:15:03.055ProcessGuid: {0031B1CC-B341-58C6-0000-001087C50000}ProcessId: 624Image: C:\\Windows\\System32\\svchost.exeUser: NT AUTHORITY\\NETWORK SERVICEProtocol: tcpInitiated: falseSourceIsIpv6: falseSourceIp: 192.168.169.59SourceHostname: DC.OrgC_Domain.localSourcePort: 135SourcePortName: epmapDestinationIsIpv6: falseDestinationIp: 192.168.169.57DestinationHostname: DestinationPort: 38334DestinationPortName: "
192.168.169.59:2017-03-13T16:15:05Z DC.OrgC_Domain.local 192.168.169.59 AccelOps-WUA-WinLog-Microsoft-Windows-Sysmon/Operational [monitorStatus]="Success" [Locale]="en-GB" [MachineGuid]="0031b1cc-f526-488c-bd3b-41b2ff7cd13b" [timeZone]="+0000" [eventName]="Microsoft-Windows-Sysmon/Operational" [eventSource]="Microsoft-Windows-Sysmon" [eventId]="3" [eventType]="Information" [domain]="NT AUTHORITY" [computer]="DC.OrgC_Domain.local" [user]="SYSTEM" [userSID]="S-1-5-18" [userSIDAcctType]="User" [eventTime]="Mar 13 2017 16:15:04" [deviceTime]="Mar 13 2017 16:15:04" [msg]="Network connection detected:UtcTime: 2017-03-13 16:15:03.060ProcessGuid: {0031B1CC-B341-58C6-0000-001087C50000}ProcessId: 624Image: C:\\Windows\\System32\\svchost.exeUser: NT AUTHORITY\\NETWORK SERVICEProtocol: tcpInitiated: falseSourceIsIpv6: falseSourceIp: 192.168.169.59SourceHostname: DC.OrgC_Domain.localSourcePort: 135SourcePortName: epmapDestinationIsIpv6: falseDestinationIp: 192.168.169.57DestinationHostname: DestinationPort: 38338DestinationPortName: "
192.168.169.59:2017-03-13T16:15:05Z DC.OrgC_Domain.local 192.168.169.59 AccelOps-WUA-WinLog-Microsoft-Windows-Sysmon/Operational [monitorStatus]="Success" [Locale]="en-GB" [MachineGuid]="0031b1cc-f526-488c-bd3b-41b2ff7cd13b" [timeZone]="+0000" [eventName]="Microsoft-Windows-Sysmon/Operational" [eventSource]="Microsoft-Windows-Sysmon" [eventId]="3" [eventType]="Information" [domain]="NT AUTHORITY" [computer]="DC.OrgC_Domain.local" [user]="SYSTEM" [userSID]="S-1-5-18" [userSIDAcctType]="User" [eventTime]="Mar 13 2017 16:15:04" [deviceTime]="Mar 13 2017 16:15:04" [msg]="Network connection detected:UtcTime: 2017-03-13 16:15:03.062ProcessGuid: {0031B1CC-B341-58C6-0000-001087C50000}ProcessId: 624Image: C:\\Windows\\System32\\svchost.exeUser: NT AUTHORITY\\NETWORK SERVICEProtocol: tcpInitiated: falseSourceIsIpv6: falseSourceIp: 192.168.169.59SourceHostname: DC.OrgC_Domain.localSourcePort: 135SourcePortName: epmapDestinationIsIpv6: falseDestinationIp: 192.168.169.57DestinationHostname: DestinationPort: 38340DestinationPortName: "
192.168.169.59:2017-03-13T16:15:05Z DC.OrgC_Domain.local 192.168.169.59 AccelOps-WUA-WinLog-Microsoft-Windows-Sysmon/Operational [monitorStatus]="Success" [Locale]="en-GB" [MachineGuid]="0031b1cc-f526-488c-bd3b-41b2ff7cd13b" [timeZone]="+0000" [eventName]="Microsoft-Windows-Sysmon/Operational" [eventSource]="Microsoft-Windows-Sysmon" [eventId]="3" [eventType]="Information" [domain]="NT AUTHORITY" [computer]="DC.OrgC_Domain.local" [user]="SYSTEM" [userSID]="S-1-5-18" [userSIDAcctType]="User" [eventTime]="Mar 13 2017 16:15:04" [deviceTime]="Mar 13 2017 16:15:04" [msg]="Network connection detected:UtcTime: 2017-03-13 16:15:03.059ProcessGuid: {0031B1CC-B342-58C6-0000-001078DA0000}ProcessId: 776Image: C:\\Windows\\System32\\svchost.exeUser: NT AUTHORITY\\SYSTEMProtocol: tcpInitiated: falseSourceIsIpv6: falseSourceIp: 192.168.169.59SourceHostname: DC.OrgC_Domain.localSourcePort: 49154SourcePortName: DestinationIsIpv6: falseDestinationIp: 192.168.169.57DestinationHostname: DestinationPort: 36040DestinationPortName: "
192.168.169.59:2017-03-13T16:15:05Z DC.OrgC_Domain.local 192.168.169.59 AccelOps-WUA-WinLog-Microsoft-Windows-Sysmon/Operational [monitorStatus]="Success" [Locale]="en-GB" [MachineGuid]="0031b1cc-f526-488c-bd3b-41b2ff7cd13b" [timeZone]="+0000" [eventName]="Microsoft-Windows-Sysmon/Operational" [eventSource]="Microsoft-Windows-Sysmon" [eventId]="3" [eventType]="Information" [domain]="NT AUTHORITY" [computer]="DC.OrgC_Domain.local" [user]="SYSTEM" [userSID]="S-1-5-18" [userSIDAcctType]="User" [eventTime]="Mar 13 2017 16:15:04" [deviceTime]="Mar 13 2017 16:15:04" [msg]="Network connection detected:UtcTime: 2017-03-13 16:15:03.053ProcessGuid: {0031B1CC-B341-58C6-0000-001087C50000}ProcessId: 624Image: C:\\Windows\\System32\\svchost.exeUser: NT AUTHORITY\\NETWORK SERVICEProtocol: tcpInitiated: falseSourceIsIpv6: falseSourceIp: 192.168.169.59SourceHostname: DC.OrgC_Domain.localSourcePort: 135SourcePortName: epmapDestinationIsIpv6: falseDestinationIp: 192.168.169.57DestinationHostname: DestinationPort: 38332DestinationPortName: "
192.168.169.59:2017-03-13T16:15:09Z DC.OrgC_Domain.local 192.168.169.59 AccelOps-WUA-WinLog-Microsoft-Windows-Sysmon/Operational [monitorStatus]="Success" [Locale]="en-GB" [MachineGuid]="0031b1cc-f526-488c-bd3b-41b2ff7cd13b" [timeZone]="+0000" [eventName]="Microsoft-Windows-Sysmon/Operational" [eventSource]="Microsoft-Windows-Sysmon" [eventId]="3" [eventType]="Information" [domain]="NT AUTHORITY" [computer]="DC.OrgC_Domain.local" [user]="SYSTEM" [userSID]="S-1-5-18" [userSIDAcctType]="User" [eventTime]="Mar 13 2017 16:15:08" [deviceTime]="Mar 13 2017 16:15:08" [msg]="Network connection detected:UtcTime: 2017-03-13 16:15:07.224ProcessGuid: {0031B1CC-B341-58C6-0000-001087C50000}ProcessId: 624Image: C:\\Windows\\System32\\svchost.exeUser: NT AUTHORITY\\NETWORK SERVICEProtocol: tcpInitiated: falseSourceIsIpv6: falseSourceIp: 192.168.169.59SourceHostname: DC.OrgC_Domain.localSourcePort: 135SourcePortName: epmapDestinationIsIpv6: falseDestinationIp: 192.168.169.57DestinationHostname: DestinationPort: 38358DestinationPortName: "
192.168.169.59:2017-03-13T16:15:09Z DC.OrgC_Domain.local 192.168.169.59 AccelOps-WUA-WinLog-Microsoft-Windows-Sysmon/Operational [monitorStatus]="Success" [Locale]="en-GB" [MachineGuid]="0031b1cc-f526-488c-bd3b-41b2ff7cd13b" [timeZone]="+0000" [eventName]="Microsoft-Windows-Sysmon/Operational" [eventSource]="Microsoft-Windows-Sysmon" [eventId]="3" [eventType]="Information" [domain]="NT AUTHORITY" [computer]="DC.OrgC_Domain.local" [user]="SYSTEM" [userSID]="S-1-5-18" [userSIDAcctType]="User" [eventTime]="Mar 13 2017 16:15:08" [deviceTime]="Mar 13 2017 16:15:08" [msg]="Network connection detected:UtcTime: 2017-03-13 16:15:07.109ProcessGuid: {0031B1CC-B341-58C6-0000-001087C50000}ProcessId: 624Image: C:\\Windows\\System32\\svchost.exeUser: NT AUTHORITY\\NETWORK SERVICEProtocol: tcpInitiated: falseSourceIsIpv6: falseSourceIp: 192.168.169.59SourceHostname: DC.OrgC_Domain.localSourcePort: 135SourcePortName: epmapDestinationIsIpv6: falseDestinationIp: 192.168.169.57DestinationHostname: DestinationPort: 38352DestinationPortName: "
192.168.169.59:2017-03-13T16:15:08Z DC.OrgC_Domain.local 192.168.169.59 AccelOps-WUA-WinLog-Microsoft-Windows-Sysmon/Operational [monitorStatus]="Success" [Locale]="en-GB" [MachineGuid]="0031b1cc-f526-488c-bd3b-41b2ff7cd13b" [timeZone]="+0000" [eventName]="Microsoft-Windows-Sysmon/Operational" [eventSource]="Microsoft-Windows-Sysmon" [eventId]="3" [eventType]="Information" [domain]="NT AUTHORITY" [computer]="DC.OrgC_Domain.local" [user]="SYSTEM" [userSID]="S-1-5-18" [userSIDAcctType]="User" [eventTime]="Mar 13 2017 16:15:07" [deviceTime]="Mar 13 2017 16:15:07" [msg]="Network connection detected:UtcTime: 2017-03-13 16:15:06.276ProcessGuid: {0031B1CC-B32D-58C6-0000-0010EB030000}ProcessId: 4Image: SystemUser: NT AUTHORITY\\SYSTEMProtocol: udpInitiated: trueSourceIsIpv6: falseSourceIp: 192.168.169.59SourceHostname: DC.OrgC_Domain.localSourcePort: 137SourcePortName: netbios-nsDestinationIsIpv6: falseDestinationIp: 192.168.169.50DestinationHostname: WINDOWSAMDestinationPort: 137DestinationPortName: netbios-ns"
192.168.169.59:2017-03-13T16:15:09Z DC.OrgC_Domain.local 192.168.169.59 AccelOps-WUA-WinLog-Microsoft-Windows-Sysmon/Operational [monitorStatus]="Success" [Locale]="en-GB" [MachineGuid]="0031b1cc-f526-488c-bd3b-41b2ff7cd13b" [timeZone]="+0000" [eventName]="Microsoft-Windows-Sysmon/Operational" [eventSource]="Microsoft-Windows-Sysmon" [eventId]="3" [eventType]="Information" [domain]="NT AUTHORITY" [computer]="DC.OrgC_Domain.local" [user]="SYSTEM" [userSID]="S-1-5-18" [userSIDAcctType]="User" [eventTime]="Mar 13 2017 16:15:08" [deviceTime]="Mar 13 2017 16:15:08" [msg]="Network connection detected:UtcTime: 2017-03-13 16:15:07.114ProcessGuid: {0031B1CC-B342-58C6-0000-001078DA0000}ProcessId: 776Image: C:\\Windows\\System32\\svchost.exeUser: NT AUTHORITY\\SYSTEMProtocol: tcpInitiated: falseSourceIsIpv6: falseSourceIp: 192.168.169.59SourceHostname: DC.OrgC_Domain.localSourcePort: 49154SourcePortName: DestinationIsIpv6: falseDestinationIp: 192.168.169.57DestinationHostname: DestinationPort: 36060DestinationPortName: "
192.168.169.59:2017-03-13T16:15:08Z DC.OrgC_Domain.local 192.168.169.59 AccelOps-WUA-WinLog-Microsoft-Windows-Sysmon/Operational [monitorStatus]="Success" [Locale]="en-GB" [MachineGuid]="0031b1cc-f526-488c-bd3b-41b2ff7cd13b" [timeZone]="+0000" [eventName]="Microsoft-Windows-Sysmon/Operational" [eventSource]="Microsoft-Windows-Sysmon" [eventId]="3" [eventType]="Information" [domain]="NT AUTHORITY" [computer]="DC.OrgC_Domain.local" [user]="SYSTEM" [userSID]="S-1-5-18" [userSIDAcctType]="User" [eventTime]="Mar 13 2017 16:15:08" [deviceTime]="Mar 13 2017 16:15:08" [msg]="Network connection detected:UtcTime: 2017-03-13 16:15:07.100ProcessGuid: {0031B1CC-B342-58C6-0000-001078DA0000}ProcessId: 776Image: C:\\Windows\\System32\\svchost.exeUser: NT AUTHORITY\\SYSTEMProtocol: tcpInitiated: falseSourceIsIpv6: falseSourceIp: 192.168.169.59SourceHostname: DC.OrgC_Domain.localSourcePort: 49154SourcePortName: DestinationIsIpv6: falseDestinationIp: 192.168.169.57DestinationHostname: DestinationPort: 36054DestinationPortName: "
